sitex,EntrType,NumUnits,AvgUnitsqft,NumResFloors,GrossResSqFt,CondResSqFt,WWR,FndType,Fnd_wtmn_u,Fnd_wtmn_f,FdndNotes,BsmtFloorU,wtmn_CeilingU,wtmn_GenlWallU,wtmn_WindowSHGC,wtmn_WindowU,BsmtWallU,effunits,mneff,inunithtsys_all,inunithtsys_raw,inunit_heat,inunit_cool,inunitclsys_all,inunitclsys_raw,Ventcentral_YN,Ventinunit_YN,Vent_inuniterv_YN,Vent_inunit_erveff,HVACcentral_YN,Central_Sys,HVACcentral,common_heat,commonhtsys_all,commonhtsys_raw,commonhtothr_raw,common_cool,commonclsys_all,commonclsys_raw,commonclothr_raw,Ventcorridor_YN,Vent_corridorerv_YN,Vent_corridor_erveff,Heat_bsmt_YN,Heat_bsmt_type,Vent_bsmt_YN,Vent_bsmterv_YN,Vent_bsmt_erveff,DHWFuel_central,centraldhweff_avg,centraldhweff_unitsall,centraldhwfuel_all,centralpipeins_all,centralcircloop_all,DHWFuel_units,inunitdhweff_avg,inunitdhweff_unitsall,inunitdhwsysall,inunitdhwgalall,inunitdhwfuel_all,LPD_unit,HighEffLamps_units,totalwatts_IntPk,LPD_IntPk_common,totalwatts_ExtPk,LPD_ExtPk,totalwatts_ExtNonPk,totalwatts_IntCorridor,LPD_IntCorridor,totalwatts_IntStairwell,LPD_IntStairwell,BLANK
200020,common entry,30,601,3,23985,21539,0.203348358,slab,,0.65,,,0.026,0.062,,0.40734139,,COP,1,elecres,"PTAC, no heat pump; Wall heater",elecres,PTHP,PTHP,PTHP,No,Yes,No,0,No,,,Split system HP,Split system HP,Heat pump; Electric resistance,NA; Bike room heater,Split system HP,Split system HP,Split System HP,NA,Yes,No,0,No,,No,,,,,,,,,Electricity,0.95,uef,Individual water heating tank,50,Electricity,0.365501941,100,,,,,364.8,546,0.302493075,260,0.361111111,
200031,garden style,6,610,3,4408,4013,0.070883804,ventedcrawlspace,0.180250784,,,,0.025,0.079149394,,0.330886076,,COP,1,elecres,Wall heater; Wall Heater,elecres,,,,No,Yes,No,0,No,,,,,,,,,,,NA,No,0,No,,No,,,,,,,,,Electricity,0.92,uef,Individual water heating tank,50,Electricity,0.255191257,100,,,,,177,,,,,
200060,common entry,12,735,3,10332,9490,0.171722571,ventedcrawlspace,0.033,,,,0.027,0.05646305,,0.342490272,,COP,3.36,elecres; Split system HP,Wall heater; Mini-split HP,Split system HP,Split system HP,Split system HP,Split System HP,No,Yes,No,0,No,,,elecres,elecres,Electric resistance,NA,elecres,,,,Yes,No,0,No,,No,,,,,,,,,Electricity,0.92,uef,Individual water heating tank,50,Electricity,0.601360544,65,,,,,126,33.6,0.168,9.6,0.033103448,
200077,garden style,2,1147,3,6813,6813,0.157499249,slab,,0.36,,,0.019,0.03,,0.251755725,,HSPF,13.5,Split system HP,Mini-split HP,Split system HP,Split system HP,Split system HP,Split System HP,Yes,Yes,No,0,No,,,,,,,,,,,NA,No,0,No,,No,,,Electricity,3.34,uef,Electricity,Yes,Yes,,,,,,,0.50043592,95,,,,,150,,,,,
200078,common entry,19,686,3,17619,17479,0.129620517,slab,,0.52,,,0.020900311,0.056,0.319986601,0.301009379,,HSPF,9.666666667,Split system HP; elecres,Mini-split HP; Wall heater,Split system HP,Split system HP,Split system HP,Split System HP,No,Yes,Yes,66,No,,,,,,,,,,,Yes,No,0,No,,No,,,,,,,,,Electricity,0.92,uef,Individual water heating tank,50,Electricity,0.215257532,100,,,,,622,,,280,0.231404959,
200089,common entry,10,1412,2,20564,19564,0.22185226,unheatedbsmt,,,,0.032,0.025,0.042,,0.339392097,,COP,1,elecres,Furnace; Fireplace,elecres,Split system AC,Split system AC,Split system AC,Yes,Yes,Yes,72,No,,,elecres,elecres,Furnace; Electric resistance; Heat pump,NA; Infrared Patio Heaters,elecres,,,,Yes,Yes,78,No,,Yes,No,0,,,,,,,Electricity,0.92,uef,Individual water heating tank,50,Electricity,0.936260623,86,864,0.031130648,,,127.5,104,0.065,114,0.0890625,
200095,common entry,28,458,3,15444,15444,0.261892698,unventedcrawlspace,0.034338039,,,,0.025,0.042,,0.339260533,,COP,4,PTHP,PTHP,PTHP,PTHP,PTHP,PTHP,No,Yes,No,0,No,,,Split system HP,Split system HP; elecres,Heat pump; Electric resistance,NA,Split system HP,Split system HP,Split System HP; PTHP,NA,Yes,No,0,No,,No,,,Natural Gas,0.97,et,Natural Gas,No,Yes,,,,,,,0.596797671,93,,,,,346,504,0.610909091,960,1.25,
210002,garden style,12,1127,3,13527,13227,0.093577982,ventedcrawlspace,0.180250784,,,,0.021,0.056,,0.34,,NA,#NUM!,PTHP; elecres,PTHP; Wall heater,PTHP,PTHP,PTHP,PTHP,No,Yes,No,0,No,,,,,,,,,,,NA,No,0,No,,No,,,,,,,,,Electricity,0.95,uef,Individual water heating tank,50,Electricity,0.453416149,92,,,,,280,,,,,
220009,garden style,24,909,3,22506,21817,0.136623657,slab,,0.67,,,0.025,0.054786484,,0.349499072,,HSPF,3.7,elecres; PTHP,Wall heater; PTHP,PTHP,PTHP,PTHP,PTHP,No,Yes,No,0,No,,,,,,,,,,,NA,No,0,No,,No,,,Natural Gas,0.95,et,Natural Gas,Yes,Yes,,,,,,,0.253575358,93,462,0.158981418,,,933,,,,,
220025,common entry,52,1140,3,72169,69732,0.07542029,slab,,0.56,,,0.025,0.057052173,,0.34,,COP,1,elecres,Wall heater,elecres,,,,Yes,Yes,No,0,No,,,Split system HP,Split system HP,Heat pump,NA,Split system HP,Split system HP,Split System HP,NA,Yes,No,0,No,,No,,,,,,,,,Electricity,0.92,uef,Individual water heating tank,50,Electricity,0.413596491,93,2632,0.421524664,704,0.152777778,590,1992,0.230876217,392,0.292974589,
221037,garden style,6,1269,2,7920,7670,0.180935033,slab,,0.52,,,0.025,0.056415301,,0.323087248,0.057,HSPF,8.8,Split system HP,Other HP,Split system HP,Split system HP,Split system HP,Split System HP,No,Yes,No,0,No,,,,,,,,,,,NA,No,0,No,,No,,,,,,,,,Electricity,0.92,uef,Individual water heating tank,50,Electricity,0.266614132,100,,,,,282,,,,,
222002,common entry,15,683,3,12561,12731,0.150381176,slab,,0.36,,,0.025,0.056,,0.34,,HSPF,9.6,Split system HP; elecres,Mini-split HP; Baseboard; Wall heater,Split system HP,Split system HP,Split system HP,Split System HP,No,Yes,No,0,No,,,elecres,elecres; Split system HP,Electric resistance; Heat pump,All Cadets in Stairwells; 2x Mini Splits in Common room; 1 Cadet in Each Bathroom in Commons; 1 Cadet in Office; 1 Cadet in Bike Room,elecres,,,,Yes,No,0,No,,No,,,,,,,,,Electricity,0.92,NA; uef,Individual water heating tank,80; 50,Electricity,0.323133236,100,,,53,0.036805556,868,,,320,0.280701754,
223008,common entry,50,685,3,46348,45048,0.197199636,slab,,0.52,,,0.018778365,0.053,0.6,0.562797701,,,,CENTRALHVAC bldg,VRF,Split system HP,,,,Yes,Yes,No,0,Yes,VRF,Split system HP,Split system HP,Split system HP,Electric resistance; Heat pump,mech room wall heater; elec  room wall heater; 4 VRF systems (same size & services); 2 VRF systems (same size & services); NA,Split system HP,Split system HP,Heat pump,4 VRF systems (same size & services); 2 VRF systems (same size & services); NA,Yes,Yes,,No,,No,,,Natural Gas,0.96,uef,Natural Gas; Solar Energy,Yes,Yes,,,,,,,0.305596107,100,,,910,0.030236576,134.4,2820,0.599489796,1707.2,0.750417582,
223014,garden style,48,738,3,36224,35424,0.136786672,slab,,0.67,,,0.025,0.061,,0.361694915,,COP,3.5,PTHP; elecres,PTHP; Wall heater,PTHP,PTHP,PTHP,PTHP,No,Yes,No,0,No,,,,,,,,,,,NA,No,0,No,,No,,,,,,,,,Electricity,0.935,ef; uef,Individual water heating tank,40; 50,Electricity,0.93134598,88,,,546,0.059244792,1952,,,,,
223047,common entry,24,612,3,18000,16751,0.303972366,slab,,0.67,,,0.019,0.056,,0.344977273,,COP,3.04,PTHP; elecres,PTHP; Wall heater,PTHP,PTHP,PTHP,PTHP,No,Yes,No,0,No,,,Split system HP,elecres; Split system HP,Electric resistance; Heat pump,NA,Split system HP,Split system HP,Heat pump,NA,Yes,No,0,No,,No,,,,,,,,,Electricity,0.92,uef,Individual water heating tank,50,Electricity,0.34204793,100,,,,,122,239,0.220887246,211,0.213346815,
224020,common entry,10,633,3,6643,6643,0.129699667,slab,,0.5,,,0.025,0.061,,0.37,,COP,3.8,Split system HP; elecres,Mini-split HP; Wall heater,Split system HP,Split system HP,Split system HP,Split System HP,No,Yes,No,0,No,,,elecres,elecres,Electric resistance,NA,elecres,,,,Yes,No,0,No,,No,,,,,,,,,Electricity,0.92,uef,Individual water heating tank,50,Electricity,0.523012112,100,,,,,58,,,360,0.260492041,
225003,common entry,24,632,2,21600,21600,0.192087144,slab,,0.32,,,0.021,0.061,,0.34,,COP,1,elecres,Baseboard; Wall heater,elecres,,,,No,Yes,No,0,No,,,Split system HP,Split system HP,Heat pump; Electric resistance,NA,Split system HP,Split system HP,Split System HP; Portable AC unit,NA,Yes,No,0,No,,No,,,Natural Gas,0.95,et,Natural Gas,Yes,Yes,,,,,,,0.32964135,100,,,,,497,728,0.257607926,140,0.240549828,
225015,garden style,24,955,3,22920,22920,0.202079002,slab,,0.65,,,0.021,0.056,,0.316419753,,COP,1,elecres,Baseboard,elecres,,,,No,Yes,No,0,No,,,,,,,,,,,NA,No,0,No,,No,,,,,,,,,Electricity,0.92,uef,Individual water heating tank,50,Electricity,0.52565445,100,,,254,0.176388889,1636,,,,,
