sitex,EntrType,NumUnits,AvgUnitsqft,NumResFloors,GrossResSqFt,CondResSqFt,WWR,FndType,Fnd_wtmn_u,Fnd_wtmn_f,FndNotes,BsmtFloorU,wtmn_CeilingU,wtmn_WindowSHGC,wtmn_WindowU,BsmtWallType,BsmtWallNotes,BsmtWallU,BsmtWallR_cont,BsmtWallR_cavt,BsmtWall_masonry,wtmn_GenlWallU,AGWallU_AGMass,AGWallU_MetalFrame,AGWallU_WoodFrame,AGWallU_Other,effunits,mneff,inunithtsys_all,inunithtsys_raw,inunit_heat,inunit_cool,inunitclsys_all,inunitclsys_raw,Ventcentral_YN,Ventinunit_YN,Vent_inuniterv_YN,Vent_inunit_erveff,HVACcentral_YN,Central_Sys,HVACcentral,common_heat,commonhtsys_all,commonhtsys_raw,commonhtothr_raw,common_cool,commonclsys_all,commonclsys_raw,commonclothr_raw,Ventcorridor_YN,Vent_corridorerv_YN,Vent_corridor_erveff,Heat_bsmt_YN,Heat_bsmt_type,Vent_bsmt_YN,Vent_bsmterv_YN,Vent_bsmt_erveff,DHWFuel_central,centraldhweff_avg,centraldhweff_unitsall,centraldhwfuel_all,centralpipeins_all,centralsys_all,centraldhwgalall,centralcircloop_all,DHWFuel_units,inunitdhweff_avg,inunitdhweff_unitsall,inunitdhwsysall,inunitdhwgalall,inunitdhwfuel_all,LPD_unit,HighEffLamps_units,totalwatts_IntPk,LPD_IntPk_common,totalwatts_ExtPk,LPD_ExtPk,totalwatts_ExtNonPk,totalwatts_IntCorridor,LPD_IntCorridor,totalwatts_IntStairwell,LPD_IntStairwell,HVACcommon_YN,HVACunits_YN,DHWcentral_YN,DHWunits_YN,State,statecodeyr,CZ,IECCyr,County,City,BLANK
200020,common entry,30,601,3,23985,21539,0.2033,slab,,0.65,,,0.026,,0.4073,,,,,,,0.062,,,0.062,,COP,1,elecres,"PTAC, no heat pump; Wall heater",elecres,PTHP,PTHP,PTHP,No,Yes,No,0,No,,,Split system HP,Split system HP,Heat pump; Electric resistance,NA; Bike room heater,Split system HP,Split system HP,Split System HP,NA,Yes,No,0,No,,No,,,,,,,,,,,Electricity,0.95,uef,Individual water heating tank,50,Electricity,0.3655,100,,,,,364.8,546,0.3025,260,0.3611,Yes,Yes,No,Yes,OR,2011,4C,2009,Multnomah,Portland,
200031,garden style,6,610,3,4408,4013,0.0709,ventedcrawlspace,0.1803,,,,0.025,,0.3309,,,,,,,0.056,,,0.056,,COP,1,elecres,Wall heater; Wall Heater,elecres,,,,No,Yes,No,0,No,,,,,,,,,,,NA,No,0,No,,No,,,,,,,,,,,Electricity,0.92,uef,Individual water heating tank,50,Electricity,0.2552,100,,,,,177,,,,,No,Yes,No,Yes,OR,2011,4C,2009,Multnomah,Portland,
200060,common entry,12,735,3,10332,9490,0.1717,ventedcrawlspace,0.033,,,,0.027,,0.3425,,,,,,,0.056,,,0.056,,COP,3.36,elecres; Split system HP,Wall heater; Mini-split HP,Split system HP,Split system HP,Split system HP,Split System HP,No,Yes,No,0,No,,,elecres,elecres,Electric resistance,NA,,,,,Yes,No,0,No,,No,,,,,,,,,,,Electricity,0.92,uef,Individual water heating tank,50,Electricity,0.6014,65,,,,,126,33.6,0.168,9.6,0.0331,Yes,Yes,No,Yes,OR,2011,4C,2009,Multnomah,Portland,
200077,garden style,2,1147,3,6813,6813,0.1575,slab,,0.36,,,0.019,,0.2518,,,,,,,0.03,,,0.03,,HSPF,13.5,Split system HP,Mini-split HP,Split system HP,Split system HP,Split system HP,Split System HP,Yes,Yes,No,0,No,,,,,,,,,,,NA,No,0,No,,No,,,,,,,,,,,Electricity,1,uef,Individual water heating tank,50,Electricity,0.5004,95,,,,,150,,,,,No,Yes,Yes,No,OR,2014,4C,2018,Multnomah,Portland,
200078,common entry,19,686,3,17619,17479,0.1296,slab,,0.52,,,0.0209,0.32,0.301,,,,,,,0.056,,,0.056,,HSPF,9.666666667,Split system HP; elecres,Mini-split HP; Wall heater,Split system HP,Split system HP,Split system HP,Split System HP,No,Yes,Yes,66,No,,,,,,,,,,,Yes,No,0,No,,No,,,,,,,,,,,Electricity,0.92,uef,Individual water heating tank,50,Electricity,0.2153,100,,,,,622,,,280,0.2314,No,Yes,No,Yes,OR,2014,4C,2012,Multnomah,Portland,
200089,common entry,10,1412,2,20564,19564,0.2219,unheatedbsmt,,,,0.03,0.025,,0.3394,,,,,,,0.042,,,0.042,,COP,1,elecres,Furnace; Fireplace,elecres,Split system AC,Split system AC,Split system AC,Yes,Yes,Yes,72,No,,,elecres,elecres,Furnace; Electric resistance; Heat pump,NA; Infrared Patio Heaters,,,,,Yes,Yes,78,No,,Yes,No,0,,,,,,,,,Electricity,0.92,uef,Individual water heating tank,50,Electricity,0.9363,86,864,0.0311,,,127.5,104,0.065,114,0.0891,Yes,Yes,No,Yes,OR,2014,4C,2012,Multnomah,Portland,
200095,common entry,28,458,3,15444,15444,0.2518,unventedcrawlspace,0.0343,,,,0.025,,0.3393,,,,,,,0.042,,,0.042,,COP,4,PTHP,PTHP,PTHP,PTHP,PTHP,PTHP,No,Yes,No,0,No,,,Split system HP,Split system HP; elecres,Heat pump; Electric resistance,NA,Split system HP,Split system HP,Split System HP; PTHP,NA,Yes,No,0,No,,No,,,Natural Gas,0.97,et,Natural Gas,No,Individual water heating tank,100,Yes,,,,,,,0.5968,93,,,,,346,504,0.6109,960,1.25,Yes,Yes,Yes,No,OR,2014,4C,2012,Multnomah,Portland,
210002,garden style,12,1127,3,13527,13227,0.0936,ventedcrawlspace,0.1803,,,,0.021,,0.34,,,,,,,0.056,,,0.056,,NA,#NUM!,PTHP; elecres,PTHP; Wall heater,PTHP,PTHP,PTHP,PTHP,No,Yes,No,0,No,,,,,,,,,,,NA,No,0,No,,No,,,,,,,,,,,Electricity,0.95,uef,Individual water heating tank,50,Electricity,0.4534,92,,,,,280,,,,,No,Yes,No,Yes,OR,2014,4C,,Marion,Salem,
220009,garden style,24,909,3,22506,21817,0.1366,slab,,0.67,,,0.025,,0.3495,,,,,,,0.054786484,,,0.056,,HSPF,3.7,elecres; PTHP,Wall heater; PTHP,PTHP,PTHP,PTHP,PTHP,No,Yes,No,0,No,,,,,,,,,,,NA,No,0,No,,No,,,Natural Gas,0.95,et,Natural Gas,Yes,Individual water heating tank,60,Yes,,,,,,,0.2536,93,462,0.159,,,933,,,,,No,Yes,Yes,No,OR,2011,4C,2009,Washington,Hillsboro,
220025,common entry,52,1140,3,72169,69732,0.0754,slab,,0.56,,,0.025,,0.34,,,,,,,0.057052173,,,0.056,,COP,1,elecres,Wall heater,elecres,,,,Yes,Yes,No,0,No,,,Split system HP,Split system HP,Heat pump,NA,Split system HP,Split system HP,Split System HP,NA,Yes,No,0,No,,No,,,,,,,,,,,Electricity,0.92,uef,Individual water heating tank,50,Electricity,0.4136,93,2632,0.4215,704,0.1528,590,1992,0.2309,392,0.293,Yes,Yes,No,Yes,OR,2014,4C,2012,Washington,Hillsboro,
