"sitex","KeyCodeName","KeyCodeValue","State","CZ","County","statecodeyr","ClimateZone","codereqkey","ComplianceCriteria","CodeCompliance","complies"
"300046","GenWallAGU",0.056,"Washington","4C","King",2015,"CZ 4","WA_2015_CZ 4_GenWallAGU","lessthan",0.056,TRUE
"300068","GenWallAGU",0.056,"Washington","4C","King",2012,"CZ 4","WA_2012_CZ 4_GenWallAGU","lessthan",0.056,TRUE
"300077","GenWallAGU",0.055,"Washington","4C","King",2012,"CZ 4","WA_2012_CZ 4_GenWallAGU","lessthan",0.056,TRUE
"310001","GenWallAGU",0.056,"Washington","4C","Clark",2015,"CZ 4","WA_2015_CZ 4_GenWallAGU","lessthan",0.056,TRUE
"310021","GenWallAGU",0.056,"Washington","4C","Clark",2012,"CZ 4","WA_2012_CZ 4_GenWallAGU","lessthan",0.056,TRUE
"310054","GenWallAGU",0.056,"Washington","4C","Clark",2015,"CZ 4","WA_2015_CZ 4_GenWallAGU","lessthan",0.056,TRUE
"310091","GenWallAGU",0.056,"Washington","4C","Clark",2015,"CZ 4","WA_2015_CZ 4_GenWallAGU","lessthan",0.056,TRUE
"310152","GenWallAGU",0.056,"Washington","4C","Clark",2012,"CZ 4","WA_2012_CZ 4_GenWallAGU","lessthan",0.056,TRUE
"310153","GenWallAGU",0.056,"Washington","4C","Clark",2015,"CZ 4","WA_2015_CZ 4_GenWallAGU","lessthan",0.056,TRUE
"311005","GenWallAGU",0.056,"Washington","4C","Pierce",2012,"CZ 4","WA_2012_CZ 4_GenWallAGU","lessthan",0.056,TRUE
"311007","GenWallAGU",0.056,"Washington","4C","Pierce",2015,"CZ 4","WA_2015_CZ 4_GenWallAGU","lessthan",0.056,TRUE
"313005","GenWallAGU",0.056,"Washington","5B","Spokane",2015,"CZ 5","WA_2015_CZ 5_GenWallAGU","lessthan",0.056,TRUE
"313034","GenWallAGU",0.042,"Washington","5B","Spokane",2015,"CZ 5","WA_2015_CZ 5_GenWallAGU","lessthan",0.056,TRUE
"314009","GenWallAGU",0.056,"Washington","5B","Spokane",2012,"CZ 5","WA_2012_CZ 5_GenWallAGU","lessthan",0.056,TRUE
"315001","GenWallAGU",0.0593965454765068,"Washington","5B","Spokane",2015,"CZ 5","WA_2015_CZ 5_GenWallAGU","lessthan",0.056,FALSE
"315003","GenWallAGU",0.056,"Washington","5B","Spokane",2015,"CZ 5","WA_2015_CZ 5_GenWallAGU","lessthan",0.056,TRUE
"316002","GenWallAGU",0.056,"Washington","4C","Whatcom",2012,"CZ 4","WA_2012_CZ 4_GenWallAGU","lessthan",0.056,TRUE
"316049","GenWallAGU",0.056,"Washington","4C","Whatcom",2015,"CZ 4","WA_2015_CZ 4_GenWallAGU","lessthan",0.056,TRUE
"317028","GenWallAGU",0.056,"Washington","4C","Pierce",2015,"CZ 4","WA_2015_CZ 4_GenWallAGU","lessthan",0.056,TRUE
